0 a 4,5 a 9,10 a 14,15 a 19,20 a 24,25 a 29,30 a 34,35 a 39,40 a 44,45 a 49,50 a 54,55 a 59,60 a 64,65 a 69,70 a 74,75 y Más
308,324,343,384,421,341,319,323,346,287,284,222,190,165,124,172
164,173,183,205,224,182,170,172,184,153,151,118,101,88,66,92
203,213,226,253,277,225,210,213,228,189,187,146,125,109,82,113
392,412,437,489,536,434,406,412,440,365,361,283,242,211,158,219
167,175,186,208,228,185,173,175,187,155,154,120,103,90,67,93
16,17,18,20,22,18,16,17,18,15,15,11,10,9,6,9
136,144,152,170,186,151,141,143,153,127,126,99,84,73,55,76
154,162,172,192,210,170,159,162,173,143,142,111,95,83,62,86
178,187,198,222,243,197,184,187,200,166,164,128,110,96,72,99
131,138,146,164,179,145,136,138,147,122,121,95,81,70,53,73
149,157,166,186,203,165,154,156,167,139,137,107,92,80,60,83
41,43,45,51,56,45,42,43,46,38,38,29,25,22,16,23
223,235,249,279,305,248,232,235,251,208,206,162,138,120,90,125
138,146,154,173,189,153,143,145,155,129,128,100,85,74,56,77
195,206,218,244,267,217,203,205,220,182,180,141,121,105,79,109
89,94,100,112,122,99,93,94,100,83,82,65,55,48,36,50
204,215,228,255,279,226,211,214,229,190,188,147,126,110,82,114
69,73,77,87,95,77,72,73,78,65,64,50,43,37,28,39
222,234,248,278,304,247,231,234,250,207,205,161,137,120,90,124
142,150,159,178,195,158,148,150,160,133,131,103,88,77,57,80
253,267,283,316,346,281,263,266,285,236,233,183,156,136,102,142
199,209,222,248,272,220,206,209,223,185,183,144,123,107,80,111
286,301,320,357,391,317,297,301,322,267,264,207,177,154,116,160
60,63,67,74,82,66,62,63,67,56,55,43,37,32,24,33
280,295,313,350,383,311,290,294,315,261,258,202,173,151,113,157
210,221,235,262,287,233,218,221,236,196,194,152,130,113,85,117
175,184,195,218,239,194,181,183,196,163,161,126,108,94,71,98
257,271,287,321,351,285,267,270,289,240,237,186,159,138,104,144
79,84,89,99,109,88,82,83,89,74,73,57,49,43,32,44
147,154,164,183,200,162,152,154,165,137,135,106,90,79,59,82
158,167,177,198,217,176,164,166,178,148,146,114,98,85,64,89
30,32,34,38,41,33,31,32,34,28,28,22,19,16,12,17
344,362,384,430,470,381,357,362,387,321,317,249,212,185,139,192
90,95,100,112,123,100,93,94,101,84,83,65,56,48,36,50
212,223,236,264,290,235,220,222,238,197,195,153,131,114,86,118
167,175,186,208,228,185,173,175,187,155,153,120,103,90,67,93
310,326,346,387,424,344,321,326,348,289,286,224,191,167,125,173
206,217,230,257,282,229,214,217,232,192,190,149,127,111,83,115
156,164,174,195,214,173,162,164,176,146,144,113,96,84,63,87
122,129,136,152,167,135,127,128,137,114,113,88,75,66,49,68
187,196,208,233,255,207,193,196,210,174,172,135,115,100,75,104
115,121,128,143,157,127,119,120,129,107,106,83,71,62,46,64
133,140,149,167,182,148,138,140,150,124,123,96,82,72,54,75
128,134,143,159,174,142,132,134,143,119,118,92,79,69,52,71
171,180,191,214,234,190,178,180,193,160,158,124,106,92,69,96
224,236,250,279,306,248,232,235,251,208,206,162,138,120,90,125
224,236,250,279,306,248,232,235,251,208,206,162,138,120,90,125
175,184,195,218,239,194,181,184,196,163,161,126,108,94,71,98
182,192,203,227,249,202,189,191,205,170,168,132,112,98,74,102
167,176,186,208,228,185,173,175,188,156,154,121,103,90,67,93
87,92,98,109,120,97,91,92,98,81,81,63,54,47,35,49
198,208,221,247,271,219,205,208,222,184,182,143,122,106,80,111
81,85,90,101,110,90,84,85,91,75,75,58,50,43,33,45
123,129,137,153,168,136,127,129,138,114,113,89,76,66,50,69
78,82,87,97,106,86,80,81,87,72,71,56,48,42,31,43
257,270,287,321,351,285,266,270,288,239,237,186,158,138,104,144
219,231,245,274,300,243,227,230,246,204,202,158,135,118,89,122
189,199,211,236,259,210,196,199,213,176,174,137,117,102,76,106
110,115,122,137,150,122,114,115,123,102,101,79,68,59,44,61
148,156,165,184,202,164,153,155,166,138,136,107,91,79,60,83
162,171,181,202,222,180,168,170,182,151,149,117,100,87,65,91
168,177,188,210,230,187,175,177,189,157,155,122,104,91,68,94
328,346,367,410,449,364,341,345,369,306,303,237,203,177,133,184
167,176,187,209,229,185,174,176,188,156,154,121,103,90,68,94
99,105,111,124,136,110,103,104,112,93,92,72,61,53,40,56
135,142,151,169,185,150,140,142,152,126,125,98,83,73,55,76
346,365,387,432,474,384,359,364,389,323,319,250,214,186,140,194
74,78,83,93,101,82,77,78,83,69,68,54,46,40,30,41
46,49,52,58,64,52,48,49,52,43,43,34,29,25,19,26
93,102,112,117,122,105,95,94,101,95,91,77,59,41,29,39
150,158,168,187,205,166,156,158,169,140,138,108,93,81,61,84
93,98,104,116,127,103,96,98,104,87,86,67,57,50,38,52
104,109,116,129,142,115,107,109,116,96,95,75,64,56,42,58
124,130,138,154,169,137,128,130,139,115,114,89,76,67,50,69
313,329,349,390,427,347,324,328,351,291,288,226,193,168,126,175
244,256,272,304,333,270,253,256,274,227,225,176,150,131,98,136
37,40,44,46,48,42,37,37,40,37,36,30,23,16,12,15
210,230,252,262,275,237,213,211,226,214,204,173,132,93,66,88
282,308,338,352,369,318,286,283,303,287,274,232,177,125,88,118
284,311,341,355,372,321,288,285,306,289,276,234,178,126,89,119
215,235,257,268,281,242,217,216,231,218,209,177,135,95,67,90
145,158,173,181,189,163,146,145,155,147,140,119,91,64,45,60
73,80,88,91,96,82,74,73,79,74,71,60,46,32,23,31
171,187,205,214,224,193,173,172,184,174,166,141,107,76,53,71
106,112,119,133,145,118,110,112,119,99,98,77,66,57,43,59
122,133,146,152,159,138,123,122,131,124,118,100,76,54,38,51
193,212,232,242,253,218,196,194,208,197,188,159,121,86,60,81
1,2,2,2,2,2,1,1,2,1,1,1,1,1,0,1
251,264,280,313,343,278,260,263,282,234,231,181,155,135,101,140
115,121,129,144,158,128,119,121,129,107,106,83,71,62,47,64
213,233,256,266,279,241,216,214,229,217,207,175,134,95,67,89
153,167,183,191,200,173,155,154,164,156,149,126,96,68,48,64
100,105,111,125,136,111,103,105,112,93,92,72,62,54,40,56
32,35,38,40,42,36,32,32,34,32,31,26,20,14,10,13
196,206,219,245,268,217,203,206,220,183,181,142,121,105,79,110
70,77,84,88,92,79,71,70,76,71,68,58,44,31,22,29
